Name, Didn't do, Added, Processed, Pushed
Adafruit_CircuitPython_FocalTouch,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_FocalTouch
Adafruit_CircuitPython_FRAM,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_FRAM
Adafruit_CircuitPython_framebuf,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_framebuf
Adafruit_CircuitPython_FXAS21002C,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_FXAS21002C
Adafruit_CircuitPython_FXOS8700,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_FXOS8700
Adafruit_CircuitPython_GC_IOT_Core,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_GC_IOT_Core
Adafruit_CircuitPython_Gizmo,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_Gizmo
Adafruit_CircuitPython_GPS,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_GPS
Adafruit_CircuitPython_hashlib,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_hashlib
Adafruit_CircuitPython_HCSR04,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_HCSR04
Adafruit_CircuitPython_HID,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_HID
Adafruit_CircuitPython_HT16K33,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_HT16K33
Adafruit_CircuitPython_HTU21D,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_HTU21D
Adafruit_CircuitPython_Hue,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_Hue
Adafruit_CircuitPython_HX8357,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_HX8357
Adafruit_CircuitPython_ICM20649,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_ICM20649
Adafruit_CircuitPython_IL0373,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_IL0373
Adafruit_CircuitPython_IL0398,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_IL0398
Adafruit_CircuitPython_IL91874,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_IL91874
Adafruit_CircuitPython_ILI9341,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_ILI9341
Adafruit_CircuitPython_ImageLoad,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_ImageLoad
Adafruit_CircuitPython_INA219,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_INA219
Adafruit_CircuitPython_INA260,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_INA260
Adafruit_CircuitPython_IRRemote,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_IRRemote
Adafruit_CircuitPython_IS31FL3731,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_IS31FL3731
Adafruit_CircuitPython_IterTools,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_IterTools
Adafruit_CircuitPython_JWT,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_JWT
Adafruit_CircuitPython_L3GD20,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_L3GD20
Adafruit_CircuitPython_LED_Animation,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_LED_Animation
Adafruit_CircuitPython_LIDARLite,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_LIDARLite
Adafruit_CircuitPython_LIFX,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_LIFX
Adafruit_CircuitPython_LIS3DH,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_LIS3DH
Adafruit_CircuitPython_Logging,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_Logging
Adafruit_CircuitPython_LPS35HW,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_LPS35HW
Adafruit_CircuitPython_LSM303,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_LSM303
Adafruit_CircuitPython_LSM303_Accel,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_LSM303_Accel
